id,section,question,n_diagrams,kinds,has_hidden_tech,verdict
01-1,01 LLM foundations,"What's the difference between a token and a word, and why does tokeniz",1,concept,True,ok (concept shown + jiuwen hidden)
01-2,01 LLM foundations,What is the difference between tokens and embeddings?,1,concept,False,concept only (ok)
01-3,01 LLM foundations,Explain how self-attention works in a transformer,1,concept,False,concept only (ok)
01-4,01 LLM foundations,"What is positional encoding, and why do transformers need it if attent",1,concept,False,concept only (ok)
01-5,01 LLM foundations,"What's the difference between an encoder-only, decoder-only, and encod",1,concept,True,ok (concept shown + jiuwen hidden)
01-6,01 LLM foundations,What's the difference between a model's context window and its trainin,1,concept,False,concept only (ok)
01-7,01 LLM foundations,What happens when a conversation exceeds the model's context window,1,concept,True,ok (concept shown + jiuwen hidden)
01-8,01 LLM foundations,"Why does model performance sometimes degrade with very long context, e",1,concept,True,ok (concept shown + jiuwen hidden)
01-9,01 LLM foundations,"What does temperature actually control, mathematically, in the output ",1,concept,False,concept only (ok)
01-10,01 LLM foundations,What's the difference between top-k sampling and top-p (nucleus) sampl,1,concept,False,concept only (ok)
01-11,01 LLM foundations,Why does greedy decoding sometimes produce worse output than sampling-,1,concept,False,concept only (ok)
01-12,01 LLM foundations,Why do LLMs struggle with tasks like counting or basic arithmetic,1,concept,False,concept only (ok)
01-13,01 LLM foundations,"What is hallucination, and why does it happen even in a well-trained m",1,concept,False,concept only (ok)
01-14,01 LLM foundations,"What's the difference between the model being ""wrong"" and the model be",1,concept,False,concept only (ok)
02-1,02 Prompting and output control,What's the difference between a system prompt and a user prompt,1,concept,True,ok (concept shown + jiuwen hidden)
02-2,02 Prompting and output control,"Zero-shot vs. few-shot vs. chain-of-thought, when does each actually i",1,concept,True,ok (concept shown + jiuwen hidden)
02-3,02 Prompting and output control,"How do you get consistent, parseable output like JSON from an LLM",1,concept,True,ok (concept shown + jiuwen hidden)
02-4,02 Prompting and output control,How does the framework validate a tool call's structured output before,1,concept,True,ok (concept shown + jiuwen hidden)
02-5,02 Prompting and output control,How do you version prompts the same way you'd version code,1,concept,True,ok (concept shown + jiuwen hidden)
03-1,03 RAG and retrieval,"Walking through a RAG pipeline end to end, query to final answer",1,concept,False,concept only (ok)
03-2,03 RAG and retrieval,"The pipeline: query embedding, vector search, context assembly, prompt",1,concept,False,concept only (ok)
03-3,03 RAG and retrieval,How do you measure whether your retrieval step is actually working,1,concept,False,concept only (ok)
03-4,03 RAG and retrieval,"What is Modular RAG, and how is it different from a simple RAG pipelin",1,concept,False,concept only (ok)
03-5,03 RAG and retrieval,"Deciding chunk size, and what breaks at each extreme",1,concept,False,concept only (ok)
03-6,03 RAG and retrieval,What happens if your chunks are too small or too large,1,concept,False,concept only (ok)
03-7,03 RAG and retrieval,"Fixed-size vs. semantic chunking, the actual retrieval tradeoff",1,concept,False,concept only (ok)
